file,label,referenced_by,import_risk,suggested_action,reason
analyses/p7_predictability_probe.py,MAINLINE,py:1;doc:3,MED,KEEP,imported_by=p7_reveal_policy.py
analyses/p7_reveal_policy.py,UNKNOWN,py:0;doc:3,NONE,HUMAN REVIEW,no refs found
analyses/path_patch_handoff.py,MAINLINE,py:13;doc:11,HIGH,KEEP,"imported_by=canonical_reanalysis.py,emergence_characterization.py,p5_utility_controller.py...; image-line"
analyses/phase1_5_aggregation_knee.py,UNKNOWN,py:0;doc:1,NONE,HUMAN REVIEW,no refs found
analyses/phase1_5_per_head.py,UNKNOWN,py:0;doc:2,NONE,HUMAN REVIEW,no refs found
analyses/physical_signal_source.py,MAINLINE,py:15;doc:7,HIGH,KEEP,"imported_by=p3prime_causal_verify.py,p5_ood_layout.py,p5_utility_controller.py..."
analyses/plot_B_diagnostics.py,DIAGNOSTIC,py:0;doc:1,NONE,-> scripts|analyses/diagnostics (Phase 2B),diag-name
analyses/plot_attention_heatmaps.py,DIAGNOSTIC,py:0,NONE,-> scripts|analyses/diagnostics (Phase 2B),diag-name
analyses/plot_attn_diagnostic_heatmap.py,DIAGNOSTIC,py:0;doc:1,NONE,-> scripts|analyses/diagnostics (Phase 2B),diag-name
analyses/plot_attn_map_b1.py,DIAGNOSTIC,py:0;doc:2,NONE,-> scripts|analyses/diagnostics (Phase 2B),diag-name
analyses/plot_b_heatmaps.py,DIAGNOSTIC,py:0;doc:1,NONE,-> scripts|analyses/diagnostics (Phase 2B),diag-name
analyses/plot_canonical_reanalysis.py,MAINLINE,py:2;doc:2,MED,KEEP,"imported_by=test_canon_emergence_curves.py,test_canon_plot.py"
analyses/plot_cdl_gbeta_comprehensive.py,DIAGNOSTIC,py:0;doc:1,NONE,-> scripts|analyses/diagnostics (Phase 2B),diag-name
analyses/plot_cdl_gbeta_matched.py,MAINLINE,py:2;sh:1;doc:1,MED,KEEP,"imported_by=plot_cdl_gbeta_comprehensive.py,test_plot_cdl_gbeta_matched.py"
analyses/plot_emergence.py,MAINLINE,py:2;doc:3,MED,KEEP,"imported_by=test_emergence_a4_render.py,test_plot_emergence.py"
analyses/plot_handoff_path_patch.py,DIAGNOSTIC,py:0;doc:1,NONE,-> scripts|analyses/diagnostics (Phase 2B),diag-name; image-line
analyses/plot_head_gated_gbeta.py,DIAGNOSTIC,py:0;doc:2,NONE,-> scripts|analyses/diagnostics (Phase 2B),diag-name
analyses/plot_multistart_separate_seeds.py,DIAGNOSTIC,py:0,NONE,-> scripts|analyses/diagnostics (Phase 2B),diag-name
analyses/plot_old_gbeta_comparison.py,DIAGNOSTIC,py:0,NONE,-> scripts|analyses/diagnostics (Phase 2B),diag-name
analyses/plot_old_gbeta_per_seed.py,DIAGNOSTIC,py:0,NONE,-> scripts|analyses/diagnostics (Phase 2B),diag-name
analyses/plot_p3prime_causal.py,MAINLINE,py:1;doc:2,MED,KEEP,imported_by=test_p3prime_driver.py
analyses/plot_p5.py,MAINLINE,py:1;doc:2,MED,KEEP,imported_by=test_p5_driver.py
analyses/plot_physical_signal_source.py,MAINLINE,py:1;doc:3,MED,KEEP,imported_by=test_pss_plot.py
analyses/plot_position_prior.py,MAINLINE,py:1;doc:3,MED,KEEP,imported_by=test_pp_plot_part2.py
analyses/plot_wall_clock_overlay.py,DIAGNOSTIC,py:0,NONE,-> scripts|analyses/diagnostics (Phase 2B),diag-name
analyses/position_prior_decomp.py,MAINLINE,py:14;doc:6,HIGH,KEEP,"imported_by=layout_ood_eval.py,p3prime_causal_verify.py,physical_signal_source.py..."
analyses/run_gbeta_sanity_save_json.py,UNKNOWN,py:0;doc:1,NONE,HUMAN REVIEW,no refs found
analyses/scan_collab_32heads.py,DIAGNOSTIC,py:0,NONE,-> scripts|analyses/diagnostics (Phase 2B),diag-name
analyses/scan_seed1_10k_heads.py,DIAGNOSTIC,py:0;doc:1,NONE,-> scripts|analyses/diagnostics (Phase 2B),diag-name
analyses/smoke_head_gated_gbeta.py,UNKNOWN,py:0;doc:2,NONE,HUMAN REVIEW,no refs found
analyses/summarize_gbeta_feedback_final.py,MAINLINE,py:1,MED,KEEP,imported_by=test_summarize_gbeta_feedback_final.py
analyses/summarize_gbeta_loss_comparison.py,MAINLINE,py:1;sh:1;doc:1,MED,KEEP,imported_by=test_summarize_gbeta_loss_comparison.py
analyses/summarize_head_gated_drift.py,DIAGNOSTIC,py:0,NONE,-> scripts|analyses/diagnostics (Phase 2B),diag-name
analyses/uniform_label_free_v1.py,MAINLINE,py:2;doc:2,MED,KEEP,"imported_by=diagnose_readout_collapse.py,eval_frozen_readout_cross_ckpt.py"
analyses/v3_feasibility_smoke.py,MAINLINE,py:1;doc:2,MED,KEEP,imported_by=test_v3_feasibility_smoke.py
analyses/validate_gbeta_unsupervised_selector.py,DIAGNOSTIC,py:0,NONE,-> scripts|analyses/diagnostics (Phase 2B),diag-name
analyses/validate_selector_cross_ckpt.py,DIAGNOSTIC,py:0;doc:1,NONE,-> scripts|analyses/diagnostics (Phase 2B),diag-name
analyses/validate_selector_random_ckpts.py,DIAGNOSTIC,py:0,NONE,-> scripts|analyses/diagnostics (Phase 2B),diag-name
analyses/validate_unsupervised_selector.py,DIAGNOSTIC,py:0;doc:1,NONE,-> scripts|analyses/diagnostics (Phase 2B),diag-name
analyses/wall_clock_saving.py,UNKNOWN,py:0;doc:3,NONE,HUMAN REVIEW,no refs found
block_lo_arm_order_network/__init__.py,MAINLINE,py:0;doc:12,NONE,KEEP,no refs found
block_lo_arm_order_network/analyses/diag_content_teacher.py,DIAGNOSTIC,py:0,NONE,-> scripts|analyses/diagnostics (Phase 2B),diag-name
block_lo_arm_order_network/analyses/scan_content_heads.py,DIAGNOSTIC,py:0,NONE,-> scripts|analyses/diagnostics (Phase 2B),diag-name
block_lo_arm_order_network/aogpt_ych.py,MAINLINE,py:2,MED,KEEP,"imported_by=extract_real_attention.py,test_aogpt_ych_attention_export.py"
block_lo_arm_order_network/attention_curriculum_orders.py,MAINLINE,py:3;doc:1,HIGH,KEEP,"imported_by=nn_paths_mp.py,nn_paths_n64.py,test_attention_curriculum_orders.py"
block_lo_arm_order_network/attention_extractor.py,MAINLINE,py:5,HIGH,KEEP,"imported_by=eval_on.py,extract_real_attention.py,test_dp_solver.py..."
block_lo_arm_order_network/attention_trajectory.py,MAINLINE,py:6;sh:3;doc:7,HIGH,KEEP,"imported_by=causal_layer_ablation.py,emergence_characterization.py,path_patch_handoff.py..."
block_lo_arm_order_network/attn_order_diagnostics.py,MAINLINE,py:2,MED,KEEP,"imported_by=test_attn_order.py,run_attn_order_phase1_5_rollout_diagnostic.py"
block_lo_arm_order_network/attn_order_distill.py,MAINLINE,py:5;doc:3,HIGH,KEEP,"imported_by=test_attn_order_alternating.py,test_vq64_alternating.py,train_attn_order_mlp.py..."
block_lo_arm_order_network/attn_order_features.py,MAINLINE,py:6;doc:4,HIGH,KEEP,"imported_by=attn_order_diagnostics.py,attn_order_mlp_policy.py,test_attn_order.py..."
block_lo_arm_order_network/attn_order_image_diag.py,MAINLINE,py:2;doc:1,MED,KEEP,"imported_by=test_vq64_alternating.py,train_vq64_alternating.py; image-line"
block_lo_arm_order_network/attn_order_mlp_policy.py,MAINLINE,py:18;doc:7,HIGH,KEEP,"imported_by=attn_order_distill.py,attn_order_image_diag.py,teacher_labels.py..."
block_lo_arm_order_network/attn_order_teacher.py,MAINLINE,py:31;doc:14,HIGH,KEEP,"imported_by=build_gbeta_headset_dataset.py,cdl_teacher_ablation.py,cdl_teacher_ablation_image.py..."
block_lo_arm_order_network/batch_level_graph_diagnostic.py,LAUNCH_HELPER,py:0;sh:1,LOW-SH,KEEP (launcher dep),sh=run_overnight_p0_p1_p2.sh
block_lo_arm_order_network/batch_readout/__init__.py,MAINLINE,py:0;doc:12,NONE,KEEP,no refs found
block_lo_arm_order_network/batch_readout/attn_composition.py,MAINLINE,py:2;doc:2,MED,KEEP,"imported_by=attention_trajectory.py,test_attn_composition.py"
block_lo_arm_order_network/batch_readout/cdl_order_provider.py,MAINLINE,py:2;doc:5,MED,KEEP,"imported_by=audition_heads.py,train_clean_aogpt.py"
block_lo_arm_order_network/batch_readout/cheap_teacher.py,UNKNOWN,py:0,NONE,HUMAN REVIEW,no refs found
block_lo_arm_order_network/batch_readout/dataset_batch.py,MAINLINE,py:4;sh:2;doc:3,HIGH,KEEP,"imported_by=eval_frozen_phase2.py,selected_head_dataset.py,train_offline.py..."
block_lo_arm_order_network/batch_readout/direct_order_provider.py,MAINLINE,py:2;doc:3,MED,KEEP,"imported_by=test_direct_order_provider.py,train_clean_aogpt.py"
block_lo_arm_order_network/batch_readout/diversity_batch.py,MAINLINE,py:10;sh:2;doc:2,HIGH,KEEP,"imported_by=block_granularity_scan.py,head_stability_seed2.py,diag_content_teacher.py..."
block_lo_arm_order_network/batch_readout/eval_frozen_phase2.py,MAINLINE,py:2;sh:1;doc:1,MED,KEEP,"imported_by=label_free_pipeline.py,run_phase33_gbeta.py"
block_lo_arm_order_network/batch_readout/eval_metrics.py,MAINLINE,py:13;sh:1;doc:4,HIGH,KEEP,"imported_by=block_granularity_scan.py,label_free_pipeline.py,train_offline.py..."
block_lo_arm_order_network/batch_readout/extract_b_batch.py,MAINLINE,py:3;doc:1,HIGH,KEEP,"imported_by=gbeta_input_sanity_final.py,dataset_batch.py,test_batch_readout_extract.py"
block_lo_arm_order_network/batch_readout/frozen_gbeta_hook.py,MAINLINE,py:8;doc:5,HIGH,KEEP,"imported_by=direct_order_provider.py,test_frozen_gbeta_hook.py,train_clean_aogpt.py..."
block_lo_arm_order_network/batch_readout/head_gated_gbeta.py,MAINLINE,py:6;doc:1,HIGH,KEEP,"imported_by=diag_model_frame_feedback.py,head_drift_diagnostic.py,smoke_head_gated_gbeta.py..."
block_lo_arm_order_network/batch_readout/hook_order_provider.py,MAINLINE,py:10;doc:13,HIGH,KEEP,"imported_by=diag_hook_vs_offline_b.py,head_drift_diagnostic.py,order_head_module.py..."
block_lo_arm_order_network/batch_readout/integration_hook.py,MAINLINE,py:10;doc:7,HIGH,KEEP,"imported_by=label_free_pipeline.py,order_eval_ladder.py,order_head_module.py..."
block_lo_arm_order_network/batch_readout/l0_dynamic_gbeta.py,MAINLINE,py:8;doc:4,HIGH,KEEP,"imported_by=characterize_l0_dynamic_gbeta.py,eval_l0_dynamic_gbeta.py,frozen_gbeta_hook.py..."
block_lo_arm_order_network/batch_readout/l0_strict65.py,MAINLINE,py:12;doc:7,HIGH,KEEP,"imported_by=build_l0_dynamic_gbeta_dataset.py,position_prior_decomp.py,attention_trajectory.py..."
block_lo_arm_order_network/batch_readout/label_free_cdl_teacher.py,MAINLINE,py:11;doc:4,HIGH,KEEP,"imported_by=build_l0_dynamic_gbeta_dataset.py,characterize_l0_dynamic_gbeta.py,eval_l0_dynamic_gbeta.py..."
block_lo_arm_order_network/batch_readout/loss.py,MAINLINE,py:5;sh:5;doc:108,HIGH,KEEP,"imported_by=train_offline.py,train_nr1.py,test_batch_readout_loss.py..."
block_lo_arm_order_network/batch_readout/model.py,MAINLINE,py:14;sh:16;doc:155,HIGH,KEEP,"imported_by=diagnose_readout_collapse.py,eval_frozen_readout_cross_ckpt.py,gbeta_input_sanity_final.py..."
block_lo_arm_order_network/batch_readout/order_distillation_losses.py,MAINLINE,py:3;doc:2,HIGH,KEEP,"imported_by=order_distillation_metrics.py,train_l0_dynamic_gbeta.py,test_order_distillation_losses.py"
block_lo_arm_order_network/batch_readout/order_distillation_metrics.py,MAINLINE,py:2;doc:1,MED,KEEP,"imported_by=eval_l0_dynamic_gbeta.py,test_order_distillation_metrics.py"
block_lo_arm_order_network/batch_readout/order_tau_readout.py,MAINLINE,py:6;doc:6,HIGH,KEEP,"imported_by=causal_layer_ablation.py,path_patch_handoff.py,plot_emergence.py..."
block_lo_arm_order_network/batch_readout/pl_sampling.py,MAINLINE,py:7;doc:4,HIGH,KEEP,"imported_by=order_head_module.py,eval_frozen_phase2.py,hook_order_provider.py..."
block_lo_arm_order_network/batch_readout/selected_head_dataset.py,MAINLINE,py:2;doc:7,MED,KEEP,"imported_by=run_phase33_gbeta.py,test_selected_head_dataset.py"
block_lo_arm_order_network/batch_readout/soft_pairwise.py,MAINLINE,py:3;doc:5,HIGH,KEEP,"imported_by=eval_l0_dynamic_gbeta.py,train_l0_dynamic_gbeta.py,test_soft_pairwise.py"
block_lo_arm_order_network/batch_readout/train_l0_dynamic_gbeta.py,MAINLINE,py:5;sh:2;doc:5,HIGH,KEEP,"imported_by=characterize_l0_dynamic_gbeta.py,eval_l0_dynamic_gbeta.py,test_eval_l0_dynamic_gbeta.py..."
block_lo_arm_order_network/batch_readout/train_offline.py,MAINLINE,py:3;sh:2;doc:4,HIGH,KEEP,"imported_by=label_free_pipeline.py,run_phase33_gbeta.py,test_batch_readout_train_overfit.py"
block_lo_arm_order_network/causal_hidden_rollout.py,MAINLINE,py:2;doc:2,MED,KEEP,"imported_by=test_causal_hidden_rollout.py,run_causal_hidden_probe.py"
block_lo_arm_order_network/cem_readout_search.py,UNKNOWN,py:0;doc:2,NONE,HUMAN REVIEW,no refs found
block_lo_arm_order_network/cheap_layer_screen_image.py,UNKNOWN,py:0,NONE,HUMAN REVIEW,image-line
block_lo_arm_order_network/clean_training_protocol.py,MAINLINE,py:53;sh:1;doc:12,HIGH,KEEP,"imported_by=block_granularity_scan.py,build_gbeta_headset_dataset.py,build_l0_dynamic_gbeta_dataset.py..."
block_lo_arm_order_network/compare_modes.py,UNKNOWN,py:0,NONE,HUMAN REVIEW,no refs found
block_lo_arm_order_network/compare_on_versions.py,LAUNCH_HELPER,py:0;sh:1,LOW-SH,KEEP (launcher dep),sh=run_step0_on_round3.sh
block_lo_arm_order_network/config.py,MAINLINE,py:25;sh:6;doc:64,HIGH,KEEP,"imported_by=attention_extractor.py,debug_mlp_steps.py,diagnose_labels.py..."
block_lo_arm_order_network/configs/image/cifar_patch_baseline10k.py,CONFIG,py:0;doc:1,NONE,KEEP (exec'd config),image-line
block_lo_arm_order_network/configs/image/cifar_patch_graph_rw_stage2.py,CONFIG,py:0,NONE,KEEP (exec'd config),image-line
block_lo_arm_order_network/configs/image/imagenet32_patch_baseline10k.py,CONFIG,py:0;doc:1,NONE,KEEP (exec'd config),image-line
block_lo_arm_order_network/configs/image_large/imagenet64_l8h8e512_baseline.py,CONFIG,py:0,NONE,KEEP (exec'd config),image-line
block_lo_arm_order_network/configs/image_large/imagenet64_l8h8e512_patch2x2.py,CONFIG,py:0,NONE,KEEP (exec'd config),image-line
block_lo_arm_order_network/configs/image_large/imagenet64_l8h8e512_patch2x2_full.py,CONFIG,py:0,NONE,KEEP (exec'd config),image-line
block_lo_arm_order_network/configs/image_large/imagenet64_l8h8e512_patch2x2_full_50k.py,CONFIG,py:0;sh:1,LOW-SH,KEEP (exec'd config),sh=run_overnight_p0_p1_p2.sh; image-line
block_lo_arm_order_network/configs/image_large/imagenet64_l8h8e512_patch2x2_smoke.py,CONFIG,py:0,NONE,KEEP (exec'd config),dated/one-off; image-line
block_lo_arm_order_network/configs/image_large/imagenet64_l8h8e512_random_base.py,CONFIG,py:0;doc:2,NONE,KEEP (exec'd config),image-line
block_lo_arm_order_network/configs/image_large/imagenet64_l8h8e512_smoke.py,CONFIG,py:0,NONE,KEEP (exec'd config),dated/one-off; image-line
block_lo_arm_order_network/configs/text/wikitext103_seq256_block64_l2r_reference.py,CONFIG,py:0;doc:2,NONE,KEEP (exec'd config),no refs found
block_lo_arm_order_network/configs/text/wikitext103_seq256_block64_random_base.py,CONFIG,py:0;doc:2,NONE,KEEP (exec'd config),no refs found
block_lo_arm_order_network/configs/text/wikitext103_seq256_block64_v3_no_readiness.py,CONFIG,py:0;doc:1,NONE,KEEP (exec'd config),no refs found
block_lo_arm_order_network/configs/text/wikitext103_seq256_block64_v3_readiness.py,CONFIG,py:0;doc:4,NONE,KEEP (exec'd config),no refs found
block_lo_arm_order_network/consensus_order_diagnostic.py,UNKNOWN,py:0;doc:1,NONE,HUMAN REVIEW,no refs found
block_lo_arm_order_network/cotrain_aogpt_on.py,MAINLINE,py:1;sh:1;doc:1,MED,KEEP,imported_by=debug_eval_mismatch_common.py
block_lo_arm_order_network/cotrain_sampling.py,MAINLINE,py:2;doc:1,MED,KEEP,"imported_by=test_cotrain_sampling.py,train_aogpt_cotrain.py"
block_lo_arm_order_network/data/Imagenet32VQ_f4_800k_seq64/prepare.py,UNKNOWN,py:0;doc:4,NONE,HUMAN REVIEW,no refs found
block_lo_arm_order_network/data/Imagenet64VQ_f4_800k/download_full_imagenet64.py,UNKNOWN,py:0,NONE,HUMAN REVIEW,image-line
block_lo_arm_order_network/data/Imagenet64VQ_f4_800k/download_smoke_subset.py,UNKNOWN,py:0,NONE,HUMAN REVIEW,no refs found
block_lo_arm_order_network/data/Imagenet64VQ_f4_800k/fill_missing.py,UNKNOWN,py:0,NONE,HUMAN REVIEW,no refs found
block_lo_arm_order_network/data/Imagenet64VQ_f4_800k/prepare.py,UNKNOWN,py:0;doc:4,NONE,HUMAN REVIEW,no refs found
block_lo_arm_order_network/data/Imagenet64VQ_f4_800k/rearrange_to_patches.py,UNKNOWN,py:0;doc:1,NONE,HUMAN REVIEW,image-line
block_lo_arm_order_network/debug_coordinate_system.py,UNKNOWN,py:0,NONE,HUMAN REVIEW,no refs found
block_lo_arm_order_network/debug_mlp_steps.py,UNKNOWN,py:0,NONE,HUMAN REVIEW,no refs found
block_lo_arm_order_network/diag_a_diff.py,DIAGNOSTIC,py:0;sh:1;doc:1,LOW-SH,-> scripts|analyses/diagnostics (Phase 2B),sh=run_cotrain_round0.sh; diag-name
block_lo_arm_order_network/diagnose_10k_patch8x8.py,DIAGNOSTIC,py:0,NONE,-> scripts|analyses/diagnostics (Phase 2B),diag-name; image-line
block_lo_arm_order_network/diagnose_batch_vs_per_sample.py,DIAGNOSTIC,py:0,NONE,-> scripts|analyses/diagnostics (Phase 2B),diag-name
block_lo_arm_order_network/diagnose_labels.py,DIAGNOSTIC,py:0,NONE,-> scripts|analyses/diagnostics (Phase 2B),diag-name
block_lo_arm_order_network/diagnose_patch_aggregation.py,DIAGNOSTIC,py:0,NONE,-> scripts|analyses/diagnostics (Phase 2B),diag-name; image-line
block_lo_arm_order_network/diagnose_reward_signal.py,DIAGNOSTIC,py:0,NONE,-> scripts|analyses/diagnostics (Phase 2B),diag-name
block_lo_arm_order_network/directed_graph_policy.py,MAINLINE,py:43;doc:15,HIGH,KEEP,"imported_by=extract_per_sample_gB.py,cem_readout_search.py,consensus_order_diagnostic.py..."
block_lo_arm_order_network/dp_solver.py,MAINLINE,py:9;doc:2,HIGH,KEEP,"imported_by=diagnose_labels.py,eval_on.py,eval_reranker.py..."
block_lo_arm_order_network/drift_eval.py,UNKNOWN,py:0,NONE,HUMAN REVIEW,no refs found
block_lo_arm_order_network/eval_alignment.py,DIAGNOSTIC,py:0,NONE,-> scripts|analyses/diagnostics (Phase 2B),diag-name
block_lo_arm_order_network/eval_cotrain_per_step.py,DIAGNOSTIC,py:0,NONE,-> scripts|analyses/diagnostics (Phase 2B),diag-name
block_lo_arm_order_network/eval_fixed_order_protocol.py,MAINLINE,py:2,MED,KEEP,"imported_by=eval_order_sensitivity.py,test_eval_fixed_order_protocol.py"
block_lo_arm_order_network/eval_on.py,DIAGNOSTIC,py:0,NONE,-> scripts|analyses/diagnostics (Phase 2B),diag-name
block_lo_arm_order_network/eval_on64_entropy.py,DIAGNOSTIC,py:0,NONE,-> scripts|analyses/diagnostics (Phase 2B),diag-name
block_lo_arm_order_network/eval_on64_generalization.py,MAINLINE,py:2,MED,KEEP,"imported_by=drift_eval.py,eval_on64_entropy.py"
block_lo_arm_order_network/eval_order_sensitivity.py,DIAGNOSTIC,py:0,NONE,-> scripts|analyses/diagnostics (Phase 2B),diag-name
block_lo_arm_order_network/eval_reranker.py,DIAGNOSTIC,py:0;doc:1,NONE,-> scripts|analyses/diagnostics (Phase 2B),diag-name
block_lo_arm_order_network/eval_structural.py,DIAGNOSTIC,py:0,NONE,-> scripts|analyses/diagnostics (Phase 2B),diag-name
block_lo_arm_order_network/extract_A32_from_on32_aogpt.py,UNKNOWN,py:0,NONE,HUMAN REVIEW,no refs found
block_lo_arm_order_network/extract_A32_nn_from_N64.py,UNKNOWN,py:0,NONE,HUMAN REVIEW,no refs found
block_lo_arm_order_network/extract_A_ar_ckpt.py,UNKNOWN,py:0,NONE,HUMAN REVIEW,no refs found
block_lo_arm_order_network/extract_image_attention.py,MAINLINE,py:3;doc:5,HIGH,KEEP,"imported_by=diagnose_10k_patch8x8.py,run_frozen_diagnostic.py,run_image_large_grw_pipeline.py; image-line"
block_lo_arm_order_network/extract_image_attention_e2.py,MAINLINE,py:3;sh:2;doc:4,HIGH,KEEP,"imported_by=phase1_5_aggregation_knee.py,phase1_5_per_head.py,train_vq64_alternating.py; image-line"
block_lo_arm_order_network/extract_real_attention.py,MAINLINE,py:2;doc:2,MED,KEEP,"imported_by=test_extract_real_attention_ych.py,train_aogpt_graph_rw.py"
block_lo_arm_order_network/extract_train_A.py,MAINLINE,py:3;sh:1;doc:1,HIGH,KEEP,"imported_by=drift_eval.py,eval_on64_entropy.py,eval_on64_generalization.py"
block_lo_arm_order_network/extract_train_A32.py,UNKNOWN,py:0,NONE,HUMAN REVIEW,no refs found
